Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	7.1302977	3.0531726	22.471357	2.6686015	10.632708	0.5274124	0.35230732	1.382356	-0.7721487	4000	2.9802322e-08	17.12069	-0.032430153	-13.636372	0.0098232515	0.0	64.8747718334198
1	9.339178	6.5213137	64.245766	2.5305479	12.294118	3.627111	2.7019174	8.00881	-1.7519681	8000	-2.9802322e-08	29.888401	-0.04468337	-5.366413	0.009827118	0.0	111.31337428092957
2	11.717883	7.9525	63.593666	3.281608	13.964912	5.6650705	3.9448352	12.894967	-5.1770697	12000	1.1175871e-08	35.609108	-0.042652573	-2.8438678	0.009725759	0.0	171.5027720928192
3	14.664365	10.489867	64.48066	4.2918878	15.52549	7.4382696	4.709054	16.05319	-4.467582	16000	0.0	52.80252	-0.042766042	-5.4059353	0.009903118	0.0	241.7951090335846
4	19.883278	16.04565	81.13192	4.534583	18.35514	10.492989	6.152232	19.176224	-1.7290965	20000	1.6763806e-08	124.66057	-0.041594356	-16.759186	0.009721855	0.0	312.34678196907043
5	30.70537	19.260704	76.884155	5.3216987	23.771084	16.317295	7.6106315	23.691408	-2.9454308	24000	-3.7252903e-08	163.34924	-0.03579519	-22.255314	0.009712193	0.0	382.66762828826904
6	38.105385	21.238749	123.63645	6.3102036	27.464788	20.755634	7.92101	26.221684	-3.905871	28000	-3.3527613e-08	201.07448	-0.03234005	-20.988018	0.009319998	0.0	453.2684645652771
7	46.545425	20.523132	87.02026	5.245222	30.632812	24.313858	7.718752	30.114708	-1.879053	32000	-3.3527613e-08	178.5035	-0.03221105	-59.94092	0.008843945	0.0	521.5547616481781
8	55.44184	16.453697	88.62092	9.302791	34.80531	27.934664	8.773162	36.347294	-0.14055723	36000	-7.450581e-09	119.507324	-0.024798963	-39.58496	0.009458752	0.0	592.1636424064636
9	61.77514	11.972342	96.63085	8.694246	37.304764	30.628689	12.305992	42.67577	0.6761003	40000	5.5879354e-09	59.78121	-0.028357035	-14.635737	0.009685654	0.0	664.0228893756866
10	69.564735	15.6487	118.580986	50.853443	41.263157	32.813507	13.875491	47.495647	0.72471166	44000	-1.6763806e-08	116.84009	-0.035456948	-20.799665	0.009929458	0.0	739.3475892543793
11	79.33307	24.75578	168.82333	21.74087	46.761906	37.391796	14.396768	52.017254	0.47746193	48000	7.450581e-09	246.57852	-0.03032969	-41.716576	0.0090108765	0.0	809.0307714939117
12	90.54494	30.088188	184.30513	33.429806	52.31081	42.295986	14.989546	56.26154	1.9950023	52000	-1.4901161e-08	327.50803	-0.03296441	-65.14713	0.009582232	0.0	879.5587701797485
13	117.78674	32.86965	181.09259	49.58006	64.08197	47.562836	16.842731	63.26316	3.0275025	56000	-1.4901161e-08	432.1045	-0.03147592	-161.70558	0.009946253	0.0	950.6196720600128
14	134.17688	37.238003	207.72926	32.065533	72.96296	56.822933	20.20245	74.25817	1.7930949	60000	3.7252903e-09	421.8501	-0.02850382	-96.93274	0.009567696	0.0	1023.3361148834229
15	156.32497	29.700312	211.31334	87.53248	84.45652	62.395496	22.193548	82.04833	4.2527966	64000	4.4703484e-08	300.1729	-0.030408427	-84.40086	0.0096085025	0.0	1095.3747749328613
16	188.5643	27.738811	219.65228	62.066814	100.18421	65.5356	25.875257	90.47173	-0.45596564	68000	-1.6763806e-08	372.84198	-0.02287452	-217.36331	0.008513859	0.0	1170.2195935249329
17	199.0577	22.71177	232.33728	105.16803	105.361115	75.5205	28.86507	100.819626	1.2251683	72000	2.9802322e-08	180.92119	-0.018906888	-57.65116	0.009552396	0.0	1252.542634010315
18	209.09732	8.495625	235.73116	194.16957	109.457146	78.531654	31.954298	107.57315	-4.1527386	76000	1.3969839e-08	59.200645	-0.018474724	-37.0421	0.009458743	0.0	1336.6957550048828
19	205.8293	30.863699	232.04015	75.706055	109.882355	83.32463	32.7683	112.58009	1.4942447	80000	0.0	161.54785	-0.024740547	-25.563784	0.008853782	0.0	1422.4829289913177
20	214.82317	8.0005665	237.71054	202.50485	113.09091	83.380066	32.962288	114.425606	0.23513007	84000	-3.5390258e-08	23.95516	-0.019293552	-14.445161	0.008880667	0.0	1501.668333530426
21	204.76991	25.858969	229.7095	58.77245	106.19444	85.7267	34.221195	117.03824	1.6290886	88000	2.9802322e-08	82.18623	-0.027992096	-24.331953	0.008406069	0.0	1572.6707637310028
22	210.34724	7.814805	243.01329	201.45671	108.8	83.33675	34.83159	117.59164	3.529156	92000	5.5879354e-09	10.830856	-0.018774617	-3.8538537	0.009065604	0.0	1644.9107780456543
23	214.70375	9.339225	248.2549	201.56438	112.48485	85.000824	34.691467	118.88202	0.7843982	96000	-5.5879354e-09	7.2766805	-0.016331377	-1.8580346	0.008768884	0.0	1716.5428969860077
24	218.56691	12.052015	247.47682	198.3428	117.15625	85.43418	34.38844	119.95099	1.3011547	100000	-3.7252903e-09	10.4753895	-0.022189233	-2.5585775	0.009614651	0.0	1785.838760137558
25	227.16411	14.926597	262.2795	197.39807	125.03333	84.442924	34.80527	120.64913	1.8036311	104000	1.8626451e-09	12.002054	-0.016041292	-4.068404	0.009046715	0.0	1854.44677567482
