Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-4.0662932	2.4478734	2.475987	-12.6344185	10.364583	0.09877876	0.6196187	2.085688	-1.7559117	4000	5.2154064e-08	26.033691	-0.05036793	-20.905273	0.009411048	0.0	84.52777886390686
1	-3.7335663	2.4859796	2.4845362	-12.751265	10.321243	-3.9928532	1.5160528	2.5672858	-7.7210193	8000	1.4086254e-08	5.520976	-0.05183943	-1.7546105	0.00930625	0.0	155.54866790771484
2	-3.57858	2.3123457	1.9337237	-11.698569	10.649733	-4.032011	1.7704414	2.7602246	-8.15304	12000	-3.259629e-09	4.1508465	-0.051745836	-0.7935335	0.009355848	0.0	215.8366277217865
3	-3.0359426	2.090568	2.5504975	-10.472378	10.394256	-3.9861276	1.7627469	1.7978563	-8.356591	16000	1.6298145e-08	2.713997	-0.053776316	-0.5064767	0.009410639	0.0	288.080126285553
4	-2.8147902	2.0011702	3.7045794	-11.175247	10.5079365	-3.7748656	1.6868451	1.6960335	-9.345218	20000	-1.8626451e-09	2.1989248	-0.0555553	-0.35940936	0.009503692	0.0	359.8360161781311
5	-2.1794722	1.7883242	2.4047933	-8.713625	10.433071	-3.537431	1.6890808	1.7832516	-9.275356	24000	-1.8626451e-09	1.8635451	-0.059513927	-0.33439675	0.009384459	0.0	432.6357831954956
6	-2.0495067	1.9821025	2.2633684	-11.079961	10.831522	-3.2760317	1.6912359	1.4452262	-9.908938	28000	1.1175871e-08	2.2924194	-0.05799381	-0.38612542	0.009463604	0.0	504.49178290367126
7	-1.5026687	1.9282371	4.836978	-9.939061	11.395415	-3.2499347	1.7508953	1.0810778	-9.7181635	32000	1.3038516e-08	1.9755955	-0.05602503	-0.37008694	0.009492174	0.0	575.9277856349945
8	-1.0618389	1.9203312	5.4423375	-8.183115	11.850746	-3.0584335	1.7625153	1.9692354	-9.481454	36000	6.9849193e-09	1.994062	-0.05713196	-0.27591932	0.009319201	0.0	647.4447131156921
9	-0.69150406	1.879072	5.5990014	-5.756438	11.745563	-2.8099947	1.656648	0.9044424	-7.9983177	40000	-3.7252903e-09	1.6228902	-0.05468326	-0.21825656	0.009410426	0.0	719.512880563736
10	-0.348676	2.063304	7.9470363	-9.353755	12.36646	-2.655155	1.8296355	3.6340582	-9.170254	44000	-2.7939677e-09	2.0451841	-0.058603834	-0.26142985	0.0093617765	0.0	794.2359566688538
11	-0.11564994	2.1430125	7.884112	-7.9186573	12.941176	-2.6344898	1.9581006	2.8246543	-10.637953	48000	-7.450581e-09	2.2578807	-0.05983506	-0.250029	0.009518476	0.0	866.0078024864197
12	0.29606578	2.023616	12.498482	-6.763221	13.313131	-2.448159	1.9320942	3.9576225	-8.9833765	52000	1.8626451e-08	2.1513007	-0.05290975	-0.30446824	0.009415545	0.0	937.1964659690857
13	0.75779647	2.1864657	10.161987	-7.9374113	14.114285	-2.2920558	2.1232455	6.3650975	-10.368742	56000	1.8626451e-08	2.928157	-0.05520648	-0.7304599	0.009173229	0.0	1013.391969203949
