Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	5.192776	6.302192	26.264658	-19.456594	27.123287	-0.5150148	1.1885015	2.9423375	-2.7087593	4000	4.656613e-08	33.50746	-0.051635846	-10.710209	0.009034641	0.0	83.57084894180298
1	7.5464373	6.5571713	34.116665	-7.1222177	29.274075	0.07140545	2.2187786	4.7921114	-6.626509	8000	2.2351742e-08	27.815948	-0.054267086	-7.0857077	0.00918146	0.0	155.55462551116943
2	8.908333	7.527857	41.810036	-6.1081195	31.44	1.3221508	3.390984	8.681941	-9.605246	12000	4.656613e-09	32.131638	-0.058526598	-6.308654	0.009142209	0.0	225.34767866134644
3	11.495715	10.045159	45.911327	-8.876049	32.90678	1.8397627	4.1498475	10.916978	-13.043983	16000	-1.4901161e-08	43.237278	-0.054822	-9.530441	0.009179205	0.0	295.60763335227966
4	13.256987	9.70698	45.734856	-4.700632	37.12381	3.295528	5.207838	13.075272	-14.7511635	20000	1.1175871e-08	38.461235	-0.052839655	-7.4970555	0.0092612915	0.0	366.01209592819214
5	14.084416	9.926812	41.389305	-3.0607147	36.5	3.7667127	5.3745346	14.341005	-12.66109	24000	1.1175871e-08	36.25721	-0.054551	-5.6614175	0.009144377	0.0	437.27954959869385
6	15.656599	10.57792	55.851536	-1.6220512	39.14	4.092248	5.5216646	16.649498	-14.112455	28000	3.7252903e-09	44.24839	-0.05363516	-8.3830595	0.009077055	0.0	508.3273284435272
7	23.46494	14.34875	63.008595	2.257993	48.382717	5.345199	6.052969	18.209885	-12.970874	32000	2.4680048e-08	76.96122	-0.054965366	-22.415016	0.009265824	0.0	579.6706299781799
8	20.847874	12.533375	60.75727	-14.919563	47.0125	8.404704	8.172463	25.039543	-17.725769	36000	-1.4901161e-08	262.36575	-0.06020741	-69.03081	0.00890826	0.0	649.5146284103394
9	30.995182	27.609106	145.93185	-2.204428	53.73611	10.786579	11.024905	40.421387	-25.773918	40000	-3.7252903e-08	223.38065	-0.051150467	-53.894646	0.009038299	0.0	721.0026323795319
10	29.695877	19.564306	101.03258	-0.20946123	57.07353	12.686691	11.122192	40.85552	-22.95116	44000	1.9092113e-08	126.55776	-0.051606122	-33.407574	0.009147247	0.0	795.8386301994324
11	32.44643	24.864069	176.21748	5.2086964	60.46154	10.721664	9.991027	42.31618	-23.32126	48000	7.450581e-09	172.74135	-0.052637354	-34.075172	0.009137979	0.0	868.7587890625
12	35.09949	23.506245	126.40038	-13.761857	69.87273	10.378069	11.414919	44.38298	-21.361292	52000	3.3527613e-08	149.00342	-0.051980335	-43.733234	0.009029995	0.0	938.2075424194336
13	38.69623	27.540257	135.27736	6.821166	71.01852	11.834404	12.412675	46.163334	-30.195478	56000	-3.7252903e-09	168.07904	-0.04845332	-50.18036	0.009118625	0.0	1013.9315600395203
14	65.26665	63.586906	286.09134	1.2296767	85.577774	19.601068	14.892212	48.4016	-25.748846	60000	-4.4703484e-08	750.8778	-0.05314532	-237.43855	0.009107719	0.0	1096.170625925064
15	57.204773	56.642353	262.12567	4.345404	89.4186	22.223974	20.550682	61.7422	-47.63587	64000	-2.2351742e-08	475.06558	-0.054291073	-110.48841	0.009109895	0.0	1180.6386971473694
16	68.53777	64.85354	319.25964	11.201004	92.731705	25.107735	22.66631	69.19711	-31.442228	68000	1.21071935e-08	584.32635	-0.051781286	-111.285835	0.009026437	0.0	1264.731258392334
17	55.59683	52.993248	291.19806	12.886731	86.37209	22.650913	22.62549	73.64877	-20.38117	72000	4.656613e-09	435.25784	-0.053914454	-96.469734	0.009078907	0.0	1335.618628025055
18	62.157536	59.87779	271.26248	5.105049	90.12195	26.902054	22.275467	73.98492	-27.118195	76000	-3.8184226e-08	573.7042	-0.051557228	-140.8854	0.009142763	0.0	1404.2426273822784
19	121.47087	108.236374	407.37607	7.922306	126.36667	35.940903	25.619	76.439415	-26.685604	80000	2.2351742e-08	1461.9507	-0.053888366	-500.2113	0.009050735	0.0	1475.8066318035126
20	111.77724	96.00373	358.04828	5.8562293	109.0	48.885834	27.103815	85.04118	-19.103321	84000	4.4703484e-08	951.1936	-0.051637795	-356.00757	0.008983483	0.0	1550.7057089805603
21	92.62994	77.70545	279.9942	4.0551705	108.0	42.66759	30.901476	95.76116	-19.560246	88000	0.0	739.6351	-0.05004718	-202.96884	0.009028847	0.0	1622.578628540039
22	122.187485	99.80488	296.99017	11.20924	135.74074	42.229828	29.972979	97.50987	-27.644821	92000	-5.5879354e-09	897.22845	-0.05018775	-296.36224	0.008926261	0.0	1693.8794887065887
23	134.16708	107.92812	368.78586	5.327208	147.73077	48.34598	30.726646	98.63899	-19.687809	96000	-2.6077032e-08	992.48914	-0.049238507	-311.65884	0.009155491	0.0	1766.4946355819702
24	113.781876	94.69813	421.2926	18.073982	138.84	48.286385	28.063389	99.92771	-30.198446	100000	0.0	974.4128	-0.049037963	-251.30182	0.008802348	0.0	1835.786619901657
25	175.86613	130.11113	432.72186	20.490154	159.13637	52.639633	28.37022	100.56555	-23.395447	104000	-1.1175871e-08	1192.2806	-0.048230577	-455.71884	0.008952218	0.0	1907.1346201896667
26	130.24335	104.26585	379.92383	30.774271	155.26315	57.942394	31.325808	104.98217	-20.123785	108000	1.1175871e-08	1138.2723	-0.050883703	-542.44946	0.009003529	0.0	1977.6867496967316
27	160.76193	113.17882	422.97888	29.806244	142.95833	65.43873	35.406536	108.16873	-19.896492	112000	1.4901161e-08	1041.006	-0.050186977	-386.8064	0.008851482	0.0	2047.6309645175934
28	162.7013	143.34114	517.76337	27.662405	164.39131	57.558216	36.768867	111.153786	-24.434946	116000	-8.381903e-09	1059.9735	-0.048936993	-372.9817	0.008890775	0.0	2119.2066373825073
29	193.58582	139.54959	530.7135	13.634086	174.09525	66.61444	34.75257	113.3657	-21.508413	120000	1.4901161e-08	970.98584	-0.052082174	-315.53735	0.009049836	0.0	2190.0626409053802
30	225.28365	130.81735	478.3329	49.1772	196.26315	65.61661	34.803482	115.85879	-16.199743	124000	-1.3038516e-08	1009.7336	-0.051263772	-383.9356	0.008968005	0.0	2267.170758485794
31	163.78008	148.71947	508.8725	30.861296	162.72728	63.4396	38.8274	115.9655	-23.397846	128000	-3.7252903e-08	1071.1675	-0.047594495	-371.5897	0.008827528	0.0	2327.354307413101
32	193.0095	116.254745	402.04807	23.332218	164.95653	68.8092	40.024418	120.23965	-46.632576	132000	0.0	658.9885	-0.051154524	-276.05753	0.008972829	0.0	2396.9907450675964
33	254.20587	149.12259	700.8004	61.609653	202.94737	74.423515	40.029194	121.80754	-24.123009	136000	1.3969839e-08	810.7738	-0.050975926	-270.25336	0.008929317	0.0	2467.690623998642
34	268.6659	145.0686	498.12103	26.79131	196.11765	82.23608	34.68758	122.00153	-24.415148	140000	-3.7252903e-09	924.47986	-0.04983869	-323.68048	0.00899853	0.0	2539.6106371879578
35	286.30127	212.80704	820.5549	28.035078	245.0	86.863014	36.866924	128.05911	-26.102009	144000	2.9802322e-08	1015.45825	-0.05022232	-304.03336	0.008950418	0.0	2609.2506301403046
36	264.66934	190.79893	790.1179	26.800333	201.64706	87.02517	32.57667	122.4203	-23.326834	148000	1.1175871e-08	863.3833	-0.048284944	-369.07013	0.009017858	0.0	2679.618633747101
37	286.28613	103.6697	455.11838	80.413925	221.53847	88.27503	38.991447	130.81628	-24.668283	152000	9.313226e-10	901.02966	-0.051889934	-407.6224	0.009023601	0.0	2759.086314678192
38	270.22662	178.43199	827.03937	5.0642123	196.1579	87.657394	28.85174	126.4816	-18.656101	156000	-7.450581e-09	848.99133	-0.050210055	-299.34793	0.008978548	0.0	2840.6387531757355
39	259.3984	159.69788	540.9828	21.255987	196.47058	90.00766	32.172413	130.92038	-15.539291	160000	2.7939677e-09	816.6936	-0.05082382	-238.23189	0.009162443	0.0	2921.606750011444
40	201.25287	170.49023	723.8177	36.268326	183.88235	76.398705	41.883358	133.7305	-27.57746	164000	-1.4901161e-08	696.69824	-0.045536604	-275.09637	0.008769239	0.0	3000.074759244919
41	294.28796	259.2935	891.8784	14.032859	282.76923	87.971054	36.256428	134.287	-19.952335	168000	-1.4901161e-08	981.4536	-0.049831174	-456.53302	0.008863444	0.0	3070.674660682678
42	425.12726	322.13995	1028.6964	60.06654	342.0	84.9075	25.925278	127.97841	-11.285984	172000	1.4901161e-08	559.11755	-0.049245905	-254.0003	0.009044443	0.0	3140.8946254253387
43	178.66212	141.70555	537.6565	22.496449	159.2	77.12827	38.514275	131.50905	-15.428047	176000	1.8626451e-09	651.4485	-0.047846906	-341.64178	0.009002203	0.0	3210.53462767601
