Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	24.19632	15.592534	128.0	9.0	24.19632	0.0023376488	0.1749478	0.46056202	-0.4587685	4000	2.4633482e-07	376.47464	-0.02012981	-202.28806	0.008874375	0.0	22.866945505142212
1	28.550724	15.289512	93.0	10.0	28.550724	9.880138	1.8822355	15.603887	-2.5673947	8000	9.313226e-09	173.50076	-0.021011235	-51.403866	0.0085733	0.0	50.69678521156311
2	38.2	24.54547	137.0	10.0	38.2	15.766879	4.0794377	19.841066	-17.275259	12000	-1.4901161e-08	302.9516	-0.024595119	-60.316635	0.007897871	0.0	79.0948793888092
3	61.032257	37.0614	181.0	13.0	61.032257	21.723356	4.038862	24.635448	-11.5076475	16000	-2.2351742e-08	503.42218	-0.021131415	-120.37123	0.0078023565	0.0	113.0433189868927
4	88.139534	64.426834	232.0	17.0	88.139534	30.091007	2.4209266	31.463728	14.296061	20000	9.313226e-09	762.2522	-0.022130357	-189.40227	0.00744063	0.0	146.6864936351776
5	180.1579	53.11087	264.0	77.0	180.1579	38.409786	3.4771504	40.444695	8.564875	24000	-9.313226e-09	869.8966	-0.014681457	-361.7846	0.00849265	0.0	174.62880754470825
6	292.81818	113.21727	460.0	65.0	292.81818	46.54854	8.485297	51.011066	9.205268	28000	-1.0430813e-07	953.0249	-0.011017285	-402.31708	0.0075224764	0.0	204.37945795059204
7	191.44444	76.67263	367.0	64.0	191.44444	53.782906	12.871662	60.786476	9.460734	32000	-1.21071935e-08	339.02295	-0.013408026	-95.8038	0.008720655	0.0	235.06493282318115
8	251.57143	94.02486	500.0	132.0	251.57143	57.991055	12.878148	64.689316	11.548488	36000	2.4214387e-08	401.22534	-0.011176897	-98.645935	0.0069136526	0.0	262.5587878227234
9	376.66666	106.68333	500.0	201.0	376.66666	60.859478	14.441372	68.88424	12.565913	40000	0.0	446.5683	-0.005422095	-135.74323	0.007139106	0.0	296.9707682132721
10	471.75	74.74248	500.0	274.0	471.75	71.52697	8.301436	73.99237	13.570742	44000	-3.7252903e-09	581.5991	-0.0038633011	-92.080345	0.009021083	0.0	332.65079736709595
11	330.77777	194.99275	500.0	51.0	330.77777	74.73811	4.626052	77.91316	54.798332	48000	-9.313226e-09	585.4249	-0.008718988	-40.30011	0.0075655757	0.0	366.11076855659485
12	500.0	0.0	500.0	500.0	500.0	77.310875	6.933203	80.24147	31.431282	52000	4.656613e-09	577.49225	-0.0045787552	-39.593925	0.007749064	0.0	393.01079535484314
13	445.5	94.46163	500.0	275.0	445.5	78.287605	2.842733	81.5647	62.925953	56000	9.313226e-10	524.09485	-0.005866369	-75.279854	0.008497316	0.0	411.7121148109436
14	500.0	0.0	500.0	500.0	500.0	79.32073	8.607263	83.93059	33.932938	60000	0.0	535.09064	-0.005946623	-47.19114	0.008794238	0.0	445.2429211139679
15	500.0	0.0	500.0	500.0	500.0	80.62342	6.846221	85.50727	55.745476	64000	-6.9849193e-09	607.50946	-0.0041679605	-18.783585	0.009622546	0.0	480.01900362968445
16	456.5	82.66045	500.0	258.0	456.5	82.58025	2.476849	84.974495	64.484825	68000	7.916242e-09	574.1885	-0.0074862298	-38.335907	0.008573484	0.0	505.61954140663147
17	500.0	0.0	500.0	500.0	500.0	78.789925	5.5532503	84.982	60.681946	72000	-8.381903e-09	503.26556	-0.0043100603	-37.290466	0.008569855	0.0	526.6909153461456
18	500.0	0.0	500.0	500.0	500.0	84.450935	1.8315144	86.080696	75.10804	76000	1.1641532e-09	616.66614	-0.0021104158	-24.714859	0.007112547	0.0	547.6709642410278
19	500.0	0.0	500.0	500.0	500.0	81.28344	3.5288396	84.836296	63.229618	80000	4.656613e-10	592.45325	-0.006368256	-11.281586	0.008561762	0.0	578.967392206192
20	456.0	86.977005	500.0	230.0	456.0	82.2919	2.9563792	83.95257	65.46243	84000	-7.450581e-09	531.93445	-0.008681936	-137.19867	0.008687893	0.0	610.5141415596008
21	500.0	0.0	500.0	500.0	500.0	79.544	9.314948	84.961296	22.033337	88000	3.7252903e-09	563.25684	-0.0034293532	-37.290924	0.008501443	0.0	645.2429208755493
22	441.125	101.982155	500.0	262.0	441.125	79.90516	7.481132	85.25515	42.55144	92000	-2.7939677e-09	523.6953	-0.006987737	-135.53856	0.008722976	0.0	678.8869819641113
23	500.0	0.0	500.0	500.0	500.0	80.29648	8.784323	86.520004	12.035013	96000	1.4901161e-08	641.0386	-0.0025273934	-65.05435	0.008517638	0.0	713.5868661403656
24	500.0	0.0	500.0	500.0	500.0	80.42991	5.6413026	85.26855	59.72851	100000	-1.8626451e-08	548.38904	-0.006084253	-88.09279	0.009462608	0.0	747.2031598091125
25	500.0	0.0	500.0	500.0	500.0	81.44726	6.2110376	86.865486	50.554188	104000	-3.7252903e-09	585.96094	-0.0036471933	-31.636917	0.006123934	0.0	773.4987771511078
26	500.0	0.0	500.0	500.0	500.0	80.835754	4.1712027	86.52096	52.017673	108000	-8.8475645e-09	561.17303	-0.0022733994	-56.730072	0.005763063	0.0	801.6818952560425
27	500.0	0.0	500.0	500.0	500.0	78.57987	13.030679	86.8605	23.80768	112000	-9.313226e-09	852.4962	-0.0051597822	-250.73961	0.008077417	0.0	826.4950840473175
28	500.0	0.0	500.0	500.0	500.0	82.315674	1.017609	82.77226	71.10082	116000	9.313226e-10	589.3488	-0.004305417	-25.58049	0.009520224	0.0	860.5196392536163
29	500.0	0.0	500.0	500.0	500.0	65.68689	15.1466675	82.02411	14.831572	120000	2.4214387e-08	517.06683	-0.0032797344	-270.85248	0.009759947	0.0	894.4202756881714
30	500.0	0.0	500.0	500.0	500.0	82.579735	10.137816	88.05507	46.025387	124000	0.0	404.27945	-0.008125398	-77.42234	0.009304041	0.0	931.7827789783478
31	500.0	0.0	500.0	500.0	500.0	83.5661	7.2296576	90.31044	58.613834	128000	4.656613e-09	437.05478	-0.0047707995	-102.80146	0.007968013	0.0	970.5785374641418
32	500.0	0.0	500.0	500.0	500.0	85.19072	7.6525235	92.9566	58.550026	132000	4.656613e-09	468.37775	-0.005447747	-77.85238	0.007822204	0.0	1010.2227869033813
33	500.0	0.0	500.0	500.0	500.0	85.00924	9.922759	94.479996	55.654346	136000	-5.5879354e-09	578.5377	-0.003280092	-81.689606	0.009935308	0.0	1048.4336047172546
34	500.0	0.0	500.0	500.0	500.0	86.98891	6.959068	95.05334	64.8854	140000	3.7252903e-09	617.8872	-0.002667008	-54.1192	0.007706311	0.0	1084.159585237503
35	500.0	0.0	500.0	500.0	500.0	85.92702	4.4238124	93.98782	74.689186	144000	-3.7252903e-09	578.41675	-0.005644655	-55.666245	0.008055505	0.0	1116.1634702682495
36	500.0	0.0	500.0	500.0	500.0	82.94998	5.9427037	93.59976	66.84625	148000	8.381903e-09	637.164	-0.0031489646	-31.74672	0.009171296	0.0	1147.3987774848938
37	500.0	0.0	500.0	500.0	500.0	85.89677	4.940064	94.41868	71.98079	152000	6.519258e-09	714.6313	-0.003801733	-114.24165	0.008605098	0.0	1169.8878219127655
38	500.0	0.0	500.0	500.0	500.0	81.044914	0.38693747	82.66869	78.91519	156000	-5.486072e-09	606.14746	-0.0033412233	-6.357727	0.0055072578	0.0	1198.826978445053
39	500.0	0.0	500.0	500.0	500.0	80.560814	0.8057048	87.20473	78.84458	160000	-1.1641532e-09	611.2033	-0.0016544445	-45.742172	0.0028648851	0.0	1224.3105249404907
40	500.0	0.0	500.0	500.0	500.0	78.77348	2.4101343	81.96225	70.34146	164000	1.2340024e-08	602.28235	-0.0032290686	-7.465561	0.008148449	0.0	1253.561140537262
41	500.0	0.0	500.0	500.0	500.0	79.94683	1.5539812	82.21331	69.756294	168000	6.9849193e-10	578.22	-0.0047599385	-59.07206	0.0077968533	0.0	1281.506238937378
42	500.0	0.0	500.0	500.0	500.0	75.38763	5.4347	84.97663	64.07451	172000	6.9849193e-09	579.05273	-0.0023015598	-36.20112	0.007847937	0.0	1309.3787784576416
43	500.0	0.0	500.0	500.0	500.0	80.64319	5.5356956	88.412895	69.60229	176000	-1.3038516e-08	514.71625	-0.0021248283	-15.41346	0.0054543843	0.0	1329.9873445034027
44	500.0	0.0	500.0	500.0	500.0	82.17728	6.809879	89.432945	67.951	180000	-4.656613e-10	651.3799	-0.007960103	-40.086197	0.009714915	0.0	1356.3468062877655
45	500.0	0.0	500.0	500.0	500.0	84.03246	3.7880316	87.36775	69.68694	184000	-1.46683306e-08	657.3762	-0.003729799	-126.44123	0.006921704	0.0	1383.8002667427063
46	500.0	0.0	500.0	500.0	500.0	74.046455	10.841119	85.99675	25.663225	188000	-1.6763806e-08	656.59314	-0.0029467195	-106.312126	0.007932515	0.0	1412.9028341770172
47	500.0	0.0	500.0	500.0	500.0	82.83881	3.9894567	86.29324	70.04107	192000	-7.1013346e-09	587.466	-0.0041205757	-24.038994	0.0091388505	0.0	1439.3271374702454
48	500.0	0.0	500.0	500.0	500.0	78.27646	5.814218	87.43508	58.430275	196000	1.21071935e-08	586.0616	-0.0050851232	-37.566315	0.0063614915	1.0	1459.3616285324097
49	500.0	0.0	500.0	500.0	500.0	81.99989	3.534587	84.955986	60.649097	200000	-3.958121e-09	588.08154	-0.0027029335	-14.065384	0.0088556	0.0	1474.3473312854767
