Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-0.7576636	3.1784658	8.371985	-11.123814	12.986971	0.11098924	0.46966124	1.4375091	-1.7381375	4000	-1.8626451e-09	11.772749	-0.05443158	-6.3804317	0.009460318	0.0	67.93454551696777
1	0.0917536	3.0507812	10.062988	-7.741603	13.371622	-1.8387784	1.1816711	2.7880511	-4.8001	8000	-1.2805685e-08	5.43272	-0.05727346	-1.1322007	0.009523978	0.0	139.30256390571594
2	0.90995306	2.8165672	8.656258	-9.056293	13.501706	-1.6844207	1.4835391	3.0018017	-5.8561764	12000	3.7252903e-08	4.149764	-0.059559863	-0.84229666	0.009497218	0.0	210.5825366973877
3	1.607742	3.1799166	15.964808	-11.103473	14.053191	-1.4600214	1.6340305	3.0146978	-5.6925297	16000	-1.5599653e-08	4.1694317	-0.059765212	-0.6683352	0.009498334	0.0	281.5665373802185
4	2.4423401	2.6054564	11.471049	-9.108265	14.171429	-1.1290698	1.908508	3.0440617	-6.640433	20000	-1.9092113e-08	3.185399	-0.060967576	-0.5961631	0.009466369	0.0	353.71235036849976
5	3.107237	2.2255626	11.052345	-5.1091714	14.296029	-0.8399269	2.0364385	3.5413537	-5.700926	24000	9.313226e-09	2.0977802	-0.058704436	-0.2848357	0.009478349	0.0	423.4945363998413
6	3.7066748	2.1955757	15.461855	-5.323959	14.898876	-0.6652619	2.179231	4.0688133	-5.971528	28000	1.9092113e-08	2.703147	-0.057505082	-0.51400554	0.00923116	0.0	495.7952916622162
7	3.912061	2.1564324	12.700076	-3.160449	14.674074	-0.48383424	2.3460073	4.089888	-7.007894	32000	-1.1175871e-08	2.1312401	-0.056340035	-0.29459488	0.0094856825	0.0	567.0465292930603
8	4.381215	2.195784	15.023442	-4.4322543	15.265385	-0.37163112	2.4272423	7.734216	-5.5491605	36000	-2.4214387e-08	2.6573157	-0.058327354	-0.5153867	0.009413557	0.0	638.29065990448
9	4.599524	2.3159873	18.416979	-3.062833	15.348837	-0.25101513	2.5718963	7.1237574	-6.6315846	40000	3.7252903e-09	2.8572679	-0.05360036	-0.41256806	0.009401097	0.0	709.6145286560059
10	5.5432673	3.0274224	32.687992	-1.858489	16.2	-0.02169185	2.6238139	7.5886416	-6.189608	44000	1.6763806e-08	5.670047	-0.0658209	-0.95936525	0.009269786	0.0	785.4714226722717
