Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-911.9219	98.835014	-778.6029	-1057.4368	1000.0	-0.021793673	0.84617645	2.252119	-2.513048	4000	4.4703484e-08	7295.502	-0.05466888	-1000.0685	0.009000989	0.0	29.26220154762268
1	-910.88745	120.79543	-769.6634	-1103.4348	1000.0	-2.593776	6.0321703	12.454707	-15.761526	8000	-1.2665987e-07	7131.3457	-0.05678408	-2929.3892	0.008925056	0.0	57.694753885269165
2	-867.7038	159.158	-714.3594	-1132.6277	1000.0	-19.489895	9.597343	23.545218	-25.596209	12000	-3.7252903e-08	4819.2227	-0.059570648	-1326.1692	0.008968053	0.0	76.85569024085999
3	-877.31116	77.1577	-793.2526	-981.75214	1000.0	-31.988476	0.7184944	-22.802856	-32.48075	16000	2.2351742e-08	2730.6025	-0.06314149	-527.735	0.008978719	0.0	103.22612428665161
4	-881.8966	69.391426	-788.91907	-953.78644	1000.0	-37.984013	0.34898886	-31.374441	-38.1787	20000	-2.9802322e-08	2382.0361	-0.056839734	-388.95853	0.009128038	0.0	124.52605986595154
5	-726.98035	57.197678	-653.2561	-812.78326	1000.0	-43.01007	0.31826124	-37.791744	-43.169308	24000	3.958121e-08	1474.468	-0.05532954	-164.96358	0.00887969	0.0	145.69290852546692
6	-988.5488	154.66183	-762.8906	-1199.7814	1000.0	-46.45958	0.23610754	-41.72476	-46.583817	28000	2.9802322e-08	3365.9033	-0.059626654	-430.94986	0.009059163	0.0	171.54329442977905
7	-964.57135	56.108234	-905.4773	-1028.0428	1000.0	-51.804775	0.16610806	-46.6806	-51.88647	32000	8.940697e-08	2100.2583	-0.0636477	-305.17545	0.008968433	0.0	200.1595389842987
8	-741.78033	135.99423	-618.68585	-957.18225	1000.0	-56.41069	0.2614382	-51.17033	-56.521687	36000	1.4901161e-08	1064.894	-0.060895965	-36.61429	0.008951629	0.0	229.62615203857422
9	-814.3213	108.59537	-687.629	-981.23956	1000.0	-58.116444	0.78871447	-35.71138	-58.283806	40000	-1.8626451e-08	896.1601	-0.059508014	-67.81907	0.009149944	0.0	250.97501516342163
