Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	25.802877	22.094582	73.55554	3.6244287	20.070707	0.24388258	0.41692477	1.3834869	-1.0193183	4000	-7.6532366e-08	598.2444	-4.768381e-10	-334.0532	29113.672	9.0	10.865127086639404
1	24.662254	21.768549	73.61712	3.628609	19.689655	8.959805	4.2133293	13.5969	-6.308472	8000	-1.7523766e-08	252.621	0.0	-91.65724	29113.672	9.0	18.493858575820923
2	26.273972	22.747229	103.304214	2.0115054	20.507692	12.576237	7.4000893	18.786186	-15.878987	12000	-5.722046e-09	190.49939	-7.1525585e-10	-46.417007	29113.672	9.0	26.922912120819092
3	23.344255	21.711386	68.348946	2.8196836	18.952381	14.39436	9.1601095	22.829344	-10.880849	16000	-2.9802322e-08	117.25984	4.7683635e-10	-22.171547	29113.672	9.0	35.540071964263916
4	23.743225	22.261227	78.000374	3.1148586	19.124401	15.024356	10.254818	25.632479	-14.809374	20000	-2.3454428e-08	111.48467	5.960388e-11	-13.821075	29113.672	9.0	42.882874488830566
5	26.002539	21.223665	66.31039	3.8235593	20.27411	17.159992	10.753601	27.949453	-7.130588	24000	2.6226044e-09	82.87114	-2.3841862e-10	-4.7909546	29113.672	9.0	50.658050537109375
6	26.875868	22.651356	72.09939	2.6666124	20.720207	17.215004	11.567532	29.328865	-11.729436	28000	4.2915342e-09	82.768234	4.7683724e-10	-7.4920654	29113.672	9.0	58.7529182434082
7	24.249353	22.000822	67.43885	3.4386206	19.563726	17.3365	12.476047	31.170712	-8.049508	32000	-1.0728836e-09	78.95323	-4.7683724e-10	-2.8187485	29113.672	9.0	66.87701177597046
8	26.327087	21.80153	67.62399	3.6413295	20.384615	18.554634	12.519446	32.096085	-6.69934	36000	5.722046e-09	76.48123	-4.7683724e-10	-2.3266602	29113.672	9.0	73.20514512062073
9	22.715546	21.112709	69.85192	3.7684834	18.67757	17.485434	12.771484	32.45478	-7.272823	40000	-7.510185e-09	80.413826	1.6689303e-09	-6.2563095	29113.672	9.0	80.24504494667053
