Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	19.94359	9.243259	68.0	9.0	19.94359	-0.00062587095	0.061428197	0.2944048	-0.31118318	4000	1.040753e-07	200.96365	-0.023527132	-134.19493	0.00925382	0.0	32.32172226905823
1	27.255173	17.289335	121.0	9.0	27.255173	9.5997	0.6793214	12.282691	5.1355896	8000	2.9802322e-08	209.32245	-0.024564251	-73.01831	0.00900507	0.0	66.27059149742126
2	31.403225	17.407785	99.0	10.0	31.403225	15.821449	2.988474	20.4679	-2.3664134	12000	7.450581e-09	156.22545	-0.026809603	-22.319096	0.00844858	0.0	99.44689774513245
3	44.21839	25.833876	123.0	10.0	44.21839	18.755945	4.0686383	23.371876	-0.965392	16000	2.7939677e-08	262.01178	-0.02667333	-58.36648	0.008442968	0.0	125.20429921150208
4	75.28571	39.193916	200.0	15.0	75.28571	24.433556	5.1048837	29.490664	-2.341408	20000	2.8871e-08	495.94843	-0.023371883	-161.27075	0.007975571	0.0	158.97874307632446
5	112.030304	44.045074	248.0	17.0	112.030304	31.796566	9.009613	38.51691	2.231323	24000	-1.6763806e-08	458.28934	-0.020996282	-156.73627	0.007979285	0.0	193.78690838813782
6	167.27272	46.391792	246.0	79.0	167.27272	38.78774	12.122078	47.044823	0.40065894	28000	-4.4703484e-08	489.06046	-0.016279947	-220.7751	0.009009936	0.0	228.81491374969482
7	206.05556	56.76019	331.0	127.0	206.05556	46.065994	15.463017	56.374043	1.5148247	32000	-5.2154064e-08	379.0537	-0.01673548	-169.7562	0.009307854	0.0	263.45891666412354
8	292.0909	58.859547	373.0	172.0	292.0909	55.471344	15.64045	63.989414	3.92555	36000	3.7252903e-08	434.18008	-0.009847924	-229.7151	0.009662626	0.0	297.38279461860657
9	302.9091	79.886795	500.0	217.0	302.9091	64.78265	15.516256	72.803246	5.044743	40000	7.450581e-09	278.19208	-0.011895217	-52.191216	0.008184606	0.0	329.8028657436371
10	373.33334	109.78565	500.0	183.0	373.33334	70.69311	14.660807	76.969124	8.788187	44000	2.2351742e-08	387.14383	-0.0074256137	-58.754642	0.0077611823	0.0	359.3419072628021
11	479.125	28.19325	500.0	427.0	479.125	73.38245	12.442331	80.34116	1.4525223	48000	-7.450581e-09	383.4416	-0.005513467	-50.91859	0.009361479	0.0	387.446848154068
12	441.375	60.800777	500.0	344.0	441.375	73.22185	19.174479	83.747215	-0.38353747	52000	2.3283064e-08	180.83421	-0.009887876	-47.127068	0.009410922	0.0	421.5633819103241
13	500.0	0.0	500.0	500.0	500.0	84.97279	5.26915	86.995995	47.00226	56000	3.7252903e-09	535.58435	-0.0035990598	-107.64389	0.0072161364	0.0	454.3443582057953
14	436.75	109.6446	500.0	238.0	436.75	82.90265	3.7920282	87.00994	68.949745	60000	-2.910383e-10	547.17786	-0.004688307	-69.48491	0.008358328	0.0	487.7672498226166
15	477.875	58.537247	500.0	323.0	477.875	84.542274	5.3672867	86.9361	37.54554	64000	1.1175871e-08	550.549	-0.00684576	-184.04434	0.008273932	0.0	519.1388862133026
16	495.0	13.228757	500.0	460.0	495.0	74.7684	16.970654	87.76623	24.471127	68000	1.4901161e-08	440.53958	-0.012272038	-72.696075	0.009692293	0.0	551.4787828922272
17	427.66666	136.41278	500.0	138.0	427.66666	84.98105	5.3157496	89.4668	70.23163	72000	3.7252903e-09	594.45166	-0.007898694	-109.3856	0.0065990877	0.0	585.6027739048004
18	500.0	0.0	500.0	500.0	500.0	87.0298	2.3456538	88.788025	72.985146	76000	-7.450581e-09	647.12744	-0.003947185	-55.961517	0.0092513915	0.0	617.9427688121796
19	500.0	0.0	500.0	500.0	500.0	78.03866	4.0085244	84.97877	58.764378	80000	4.8894435e-09	574.45233	-0.00806034	-49.966454	0.009400122	0.0	651.9027843475342
20	414.0	138.86234	500.0	110.0	414.0	81.68674	2.4309936	87.11974	66.72983	84000	-9.080395e-09	605.5585	-0.0067230677	-78.245056	0.008125022	0.0	687.6747641563416
21	500.0	0.0	500.0	500.0	500.0	80.12699	3.6162925	85.32144	50.329174	88000	3.7252903e-09	590.7855	-0.0041616005	-23.131111	0.008218305	0.0	720.826767206192
22	500.0	0.0	500.0	500.0	500.0	77.77011	7.1565723	81.13486	31.064297	92000	5.5879354e-09	704.4441	-0.0072049657	-111.4212	0.009210819	0.0	753.0707931518555
23	500.0	0.0	500.0	500.0	500.0	80.43486	0.11490221	81.782524	80.21217	96000	1.0253643e-08	599.4155	-0.003409352	-1.0594788	0.008300993	0.0	785.1762766838074
24	500.0	0.0	500.0	500.0	500.0	80.291565	0.034972638	80.59521	79.74238	100000	2.1099368e-08	597.72064	-0.002679996	-0.31219482	0.006860542	0.0	819.1508839130402
25	473.5	70.11241	500.0	288.0	473.5	80.28732	0.27937698	83.98493	78.88553	104000	-9.895302e-10	588.97217	-0.0021718005	-27.033272	0.007892368	0.0	847.8667855262756
26	466.25	89.294106	500.0	230.0	466.25	79.97605	2.1911821	81.22532	45.06629	108000	-1.1874363e-08	592.3871	-0.0039721234	-22.442978	0.008510614	0.0	873.311475276947
27	496.875	8.267973	500.0	475.0	496.875	77.98945	4.1295767	81.27807	45.1473	112000	-6.7520887e-09	617.85266	-0.0049049594	-22.62143	0.008695773	0.0	910.0987899303436
28	500.0	0.0	500.0	500.0	500.0	80.6677	0.17914525	80.90087	79.17772	116000	2.3734174e-08	598.3073	-0.0032100116	-0.12364197	0.0065058614	1.0	948.4227888584137
29	500.0	0.0	500.0	500.0	500.0	80.42049	0.17888907	81.49845	78.31015	120000	1.0604708e-08	597.60657	-0.0056057023	-4.515167	0.008492304	0.0	989.0787916183472
30	500.0	0.0	500.0	500.0	500.0	79.66597	2.4397705	81.44165	42.270184	124000	7.450581e-09	586.94714	-0.00479748	-30.230453	0.008483984	0.0	1031.7848284244537
31	500.0	0.0	500.0	500.0	500.0	81.51225	2.4145308	83.41383	57.252728	128000	-3.259629e-09	596.2376	-0.0043081725	-34.625076	0.008599103	0.0	1069.0586895942688
32	450.625	130.63397	500.0	105.0	450.625	79.52306	5.737813	83.08705	35.994232	132000	4.656613e-09	586.9642	-0.0036574355	-42.47184	0.0065844078	0.0	1099.2521123886108
33	500.0	0.0	500.0	500.0	500.0	82.28523	1.4760063	82.9933	65.54328	136000	5.7043508e-09	597.406	-0.0017798194	-6.368103	0.008385625	0.0	1132.1837840080261
34	500.0	0.0	500.0	500.0	500.0	77.49377	10.267962	81.46894	10.942385	140000	-1.4901161e-08	667.62964	-0.0047805086	-69.51451	0.008957326	0.0	1157.4192414283752
35	500.0	0.0	500.0	500.0	500.0	80.46326	0.32658908	80.6353	74.49949	144000	5.180482e-09	597.53174	-0.006484258	-0.6033783	0.008166199	0.0	1184.6314799785614
36	500.0	0.0	500.0	500.0	500.0	80.42475	0.4080492	80.65412	75.81622	148000	-8.047209e-09	597.9657	-0.0066945045	-0.63565063	0.008815407	0.0	1200.3763921260834
37	500.0	0.0	500.0	500.0	500.0	80.31216	0.48361647	80.59596	74.49967	152000	1.15833245e-08	599.00476	-0.0030632727	-1.3356934	0.009194259	0.0	1228.8507771492004
38	500.0	0.0	500.0	500.0	500.0	80.368416	0.097439505	80.43242	79.013115	156000	-2.9799594e-09	598.1909	-0.0041131433	-0.052124023	0.009978288	0.0	1251.308557510376
39	500.0	0.0	500.0	500.0	500.0	80.319435	0.09190938	80.38293	78.194305	160000	-3.4597178e-09	597.84033	-0.006357151	-1.8619843	0.008796243	0.0	1269.8347795009613
40	500.0	0.0	500.0	500.0	500.0	80.23194	0.7412856	80.51654	68.19284	164000	4.0745363e-09	599.7929	-0.0023950026	-3.770691	0.008192666	0.0	1299.2788560390472
41	473.5	70.11241	500.0	288.0	473.5	80.23272	0.3881222	80.43871	70.66149	168000	3.783498e-09	587.00134	-0.0036996957	-25.728752	0.0049493117	0.0	1325.7522225379944
42	500.0	0.0	500.0	500.0	500.0	79.57864	2.06058	82.0169	67.82043	172000	7.21775e-09	605.7629	-0.006166539	-17.356354	0.009046074	0.0	1351.7667808532715
43	500.0	0.0	500.0	500.0	500.0	80.67656	1.6913372	81.49071	55.69058	176000	-2.415618e-09	597.94617	-0.004508559	-18.54335	0.0063753044	0.0	1372.9434101581573
44	500.0	0.0	500.0	500.0	500.0	77.90656	2.2573524	82.07475	63.546745	180000	-2.7939677e-09	601.4216	-0.002376874	-10.673782	0.008930733	0.0	1399.048122882843
45	500.0	0.0	500.0	500.0	500.0	80.30451	1.164678	83.72968	72.23988	184000	-6.7448127e-09	578.21094	-0.005166606	-65.58632	0.007772203	0.0	1425.4207417964935
